TAG,DATE,GROUP,BIRD,SEX,STATUS,LR,UR,LL,UL,Comments
149.466,7/22/2013,HORS,5206,M,H,D BLUE-YEL(N),FGREEN,FGREEN,M,
149.935,7/22/2013,HORS,4113,M,B,LGREEN-RED,BLACK -LGREEN,LGREEN-WHT(N),M,
149.155,8/11/2013,CAVI,5094,F,H,YELLOW-BLACK,BLACK -RED,M,YELLOW,
149.704,8/11/2013,CAVI,3165,M,B,M,D BLUE-YEL(N),LGREEN,B PINK,
149.905,8/11/2013,CAVI,5178,F,H,WHITE -L PINK,M,RED,MAUVE,
149.955,8/11/2013,CAVI,5181,F,H,D BLUE-YELLOW,RED   -L BLUE,D BLUE-YEL(N),M,
149.175,8/15/2013,PLQE,5391,M,H,DGREEN-L BLUE,BLACK -ORANGE,M,BLACK,
149.574,3/14/2014,GATE,5495,M,B,D BLUE-WHITE,D PINK-BLACK,M,RED,
3333 2582,5/27/2014,MACR,4955,M,H,M,YELLOW-BLACK,D BLUE-WHT(N),B PINK-WHT(N),
9999 35C3,5/27/2014,MACR,5616,M,B,BLACK -ORANGE,M,B PINK,BLACK -WHT(N),
AAAA 6AD6,5/31/2014,1600,5481,M,H,ORANGE,MAUVE,M,D BLUE-WHT(N),
5555 2A55,7/12/2014,HORS,5719,M,B,ORANGE-L BLUE,M,WHITE -L BLUE,L BLUE-WHITE,
66CC 99AA,7/12/2014,HORS,5140,F,H,ORANGE,ORANGE,M,LGREEN-WHT(N),
5252 5266,7/24/2014,1800,5190,M,H,ORANGE,M,MAUVE,BLACK -MAUVE,
5252 5255,12/17/2014,GATE,4421,F,B,M,YELLOW,DGREEN-ORANGE,ORANGE-DGREEN,
66CC AAAA,12/17/2014,GATE,5174,M,B,WHITE,LGREEN-DGREEN,M,WHITE,
334B 2D2A,12/20/2014,1500,5082,M,B,LGREEN-L BLUE,M,MAUVE -YELLOW,WHITE -RED,
4052 4B33,12/20/2014,1500,4025,F,B,BLACK -WHITE,D BLUE-YEL(N),M,D BLUE-YEL(N),
52D5 AAAA,12/20/2014,1500,5636,F,H,M,FGREEN,MAUVE -ORANGE,WHITE -B PINK,
5555 2A52,12/20/2014,1500,4672,F,B,DGREEN-WHITE,M,RED   -L BLUE,BLACK -WHITE,
66AA 9984,12/20/2014,1500,5597,F,H,RED,RED,BLACK -L BLUE,M,
66CC CCB4,12/20/2014,1500,4436,M,B,L BLUE-D BLUE,,D BLUE-YEL(N),M,
52D5 AACB,12/22/2014,HORS,5201,F,H,M,DGREEN,ORANGE-LGREEN,ORANGE-LGREEN,
52D5 AACC,12/22/2014,HORS,5734,F,B,YELLOW,M,D PINK-L BLUE,DGREEN-LGREEN,
66CC ADB4,12/22/2014,HORS,5206,M,B,D BLUE-YEL(N),FGREEN,FGREEN,M,
66CC CCB3,12/22/2014,1600,5420,M,H,B PINK,D BLUE-WHT(N),LGREEN-DGREEN,M,
66CC AABB,12/29/2014,MACR,2973,M,B,M,D PINK,LGREEN-DGREEN,RED   -LPK(N),
NO NUM,4/4/2015,KNOL,3399,M,B,RED,M,RED   -WHT(N),RED,
5566 552D,4/8/2015,SECA,4549,M,B,M,RED   -ORG(N),BLACK -WHITE,,
334B 4B52,4/9/2015,SECA,5738,M,B,LGREEN-WHITE,LGREEN-BLACK,M,GRAY,
5566 4B52,4/9/2015,SECA,5604,F,B,WHITE,M,D BLUE,B PINK-BLK(N),
66CC D2AD,4/25/2015,KNOL,5715,F,H,D PINK,FGREEN,WHITE -L BLUE,M,
334B 5533,5/24/2015,CAVI,5696,F,H,B PINK-WHITE,WHITE -B PINK,M,BLACK,
5566 4B4B,5/24/2015,CAVI,5697,F,H,M,ORANGE-LGREEN,B PINK-WHT(N),BLACK -D PINK,
334B 2D34,5/25/2015,BLMP,5728,M,H,L BLUE-WHITE,RED,LGREEN-BLACK,M,
334B 4B55,5/26/2015,1600,4684,M,B,LGREEN,M,D PINK,RED   -L BLUE,
334B 554B,5/27/2015,1600,5481,M,H,ORANGE,MAUVE,M,D BLUE-WHT(N),
4B52 4B2D,5/30/2015,LOLF,5680,M,H,WHITE,MAUVE,DGREEN-L BLUE,M,
334B 2D66,7/6/2015,PLQE,5700,F,H,M BLUE,LGREEN-MAUVE,M,M BLUE,
5566 6652,7/8/2015,PLQE,5562,M,H,M,DGREEN-LGREEN,D PINK-L BLUE,D BLUE-YELLOW,
5566 524C,7/8/2015,PLQE,5806,U,H,YELLOW,L BLUE-YELLOW,ORANGE,M,
66CC D2D2,7/8/2015,PLQE,5006,M,B,M,WHITE,D PINK,WHITE -LGREEN,
334B 2A66,7/13/2015,PLQE,5701,M,H,L BLUE-YELLOW,YELLOW-BLACK,WHITE -BLACK,M,
334B 664B,7/13/2015,PLQE,5322,M,H,D BLUE-LGREEN,B PINK,M,D BLUE-YEL(N),
66AD B4CC,7/13/2015,PLQE,5006,M,B,M,WHITE,D PINK,WHITE -LGREEN,
334B 2A55,7/24/2015,KNOL,4204,M,B,YELLOW-L BLUE,L BLUE-YELLOW,M,D BLUE-DPK(N),
334B 4B34,7/24/2015,KNOL,5007,F,B,B PINK,M,,,
4B52 4B66,7/24/2015,KNOL,5714,M,H,M,BLACK -MAUVE,LGREEN-BLACK,LGREEN-BLACK,
5205 ADAD,7/24/2015,KNOL,5079,F,B,MAUVE,D BLUE-WHT(N),M,BLACK -L BLUE,
2A52 4B66,11/24/2015,BLMP,5727,M,H,GRAY,M,MAUVE -RED,L PINK-LGREEN,
2D99 B4B3,11/24/2015,BLMP,5376,M,B,LGREEN-RED,LGREEN-ORANGE,M,ORANGE,
2DB4 AAB3,11/24/2015,BLMP,3703,M,B,M,,BLACK,,
5266 524B,11/24/2015,BLMP,5378,M,B,DGREEN,D BLUE-YEL(N),B PINK-L PINK,M,
5252 5566,2/16/2016,MLF2,5791,M,H,BLACK -YELLOW,M,L BLUE-DGREEN,BLACK-WHT(N),
2D4B AACB,2/16/2016,MLF2,4638,F,B,WHITE -RED,L BLUE-WHITE,M,LGREEN,
5252 4B66,2/16/2016,MLF2,4754,M,B,D BLUE-YEL(N),DGREEN,DGREEN,M,
66AA AAAD,2/16/2016,MLF2,4751,M,B,M,RED,LGREEN,YELLOW,
66AA AD99,2/16/2016,MLF2,5836,F,H,D BLUE-L BLUE,B PINK,GRAY,M,
66AA B4D5,2/16/2016,MLF2,5835,M,H,BLACK -RED,M,L BLUE-D PINK,ORANGE-MAUVE,
5266 5252,2/20/2016,CAVI,5762,M,H,L BLUE-RED,L BLUE-D BLUE,M BLUE,M,
5252 4B4B,2/20/2016,CAVI,4629,F,B,WHITE-RED,RED-WHITE,WHITE,M,
5252 4B55,2/20/2016,CAVI,4935,M,B,BLACK -YELLOW,L BLUE-BLACK,ORANGE-WHITE,M,
5266 552A,2/20/2016,CAVI,4621,M,B,M,FGREEN,L BLUE-WHITE,ORANGE,
2D99 B4B3,3/1/2016,BLMP,5376,M,B,LGREEN-RED,LGREEN-ORANGE,M,ORANGE,
