GCODE,1500,1800,ARFT,ARSW,BIAN,BINO,BKOK,BLMP,BUCK,CABI,CAVI,CECN,CHIM,DIPS,FNCH,GATE,GATR,H-B,HORS,KNOL,KOUT,LA2,LAMB,LHAY,LODO,LOLF,MACR,MCFL,MISH,MLF1,MLF2,MPHF,PHOB,PIPE,PLAN,PLQE,R1,RE03,RE33,ROBH,SHAN,SHIL,SHW,SOHA,SOSP,STR2,STRO,UA2,WGAT,WOLF,Y,Y2K,RE30,RE29,RE28,RE27,RE21,RE22,RE23,RE24,RE01,RE02,RE04,RE05,RE06,RE07,RE08,RE09,RE10,RE11,R12A,RE13,RE14,RE15,RE17,RE18,RE19,RE20,RE31,RE32,RE34,CHGO,DICK,MIKE,BINE,A1,R16,LANE,SECA,WNCH,BRAD,AMAD,MOST,DUMP,1600,JAIM,AVEQ,MONA,BISO,UPBA,AARD,WMRD,SHAA
1500,0.0,193.82982226696697,1328.9770502157703,2419.447250922842,2605.1911638112215,2567.691570263096,2415.9207354547366,418.96061867437646,1376.9480745473672,899.3886812718092,684.5472956630006,611.257719788114,1597.82915231877,379.05672398741984,1223.058461399127,847.5859838388875,243.77243486497812,439.0717481234651,499.12423303230446,517.9111892976257,2522.6323552987615,2648.7585771451727,2347.200247103394,615.6468143344388,339.9999999999644,319.26478039402053,616.6117092627238,1312.4549516078907,544.4896693232951,136.89411966923015,132.18547575285146,1369.0014609195093,2399.128383392615,871.2209823001875,1050.0576174668793,794.0591917482202,1099.9827271371478,805.0298131123561,1070.4284189051148,1158.6414458320314,514.931063347234,442.45225731135855,502.00896406385834,910.7606710877512,665.4562344739717,967.2109387306264,975.951330753742,2704.807571713744,906.3354787276892,1022.3135526833687,530.3772242467427,1293.3479810170236,850.5792144176,1252.3837271378961,1265.0075098590419,1136.0743813676067,1229.6930511312194,1326.7139857558707,1311.2989742999832,1331.6050465510284,635.2322409953701,730.7892993197223,722.7309319516858,646.4920726504331,696.9763267141861,581.8771347977988,643.497474742532,2372.310687915927,2550.978831742851,2493.8734931828467,2349.0570448586586,1118.7819269185254,1099.0040946237427,900.9089854139856,593.9739051505801,427.00117095846537,276.4217791707737,242.40462041817142,1112.81849373521,1889.4509784589873,711.1680532758629,1451.2770238654452,422.23453198419946,504.9059318329508,2466.9191312242183,2518.92377812433,1302.892934971908,70.327803889968,664.0067770738091,893.1483639350215,2418.66595461217,987.2345212760154,822.8250117734385,746.0730527234659,85.37564055407915,782.4659737009983,1587.0986106728521,1737.9551202490306,1366.6052831742634,851.6906715467884,1392.2449497123976,899.1090034028114,416.88607556491434
1800,193.82982226696697,0.0,1174.2478443667674,2317.0293481088966,2548.0025510191313,2506.0490817220716,2354.346830864143,612.5373458003601,1568.8224883650796,1073.0004659831234,870.0143676972368,702.5396785952144,1771.1340999483918,277.01624501101014,1142.496389490998,695.6119607942347,434.0057603305448,287.40563668803327,343.5476677260377,708.0861529501544,2430.8130327114836,2576.2026317819023,2243.2781815909484,434.01497670011344,449.13472366311635,220.14540649307222,788.0101522188658,1239.2546146777102,727.5197591818082,154.0194792875239,177.65415840897168,1221.615733362755,2342.3665383538932,750.9806921619223,1239.1743218774661,982.4235339200706,1015.9724405711013,933.8099378352179,1161.786985638851,1332.066064427737,642.7970130608885,588.4708998752615,495.2544800407438,729.784214682669,529.6885877570846,794.6099672166213,799.7355813016311,2624.047636762697,740.4120474441196,924.12390944072,723.8742984798656,1150.5568217174596,1010.6359384067772,1413.6169919748418,1440.2451180267892,1314.6577501387956,1069.7518403817587,1161.6970345145933,1167.2707483698887,1201.742900956773,776.0734501322431,879.9232921114861,889.4099167425517,725.5797681853336,742.467507706631,615.227600161507,609.3381655534142,2289.9196492453616,2476.4904603087007,2453.085607963978,2280.7325577541965,1277.010963147819,1274.0486646906388,1082.9095068379002,785.7817763221086,617.5694292952007,464.2423935833521,429.19692449989066,1231.649706693965,2032.9006370209047,587.7159177698409,1624.9409220030125,609.2158894841795,390.1281840626232,2414.212086789394,2435.3137374884577,1471.3830228733782,250.12796724876648,786.0947780007192,1060.024528018102,2308.3043560154315,1125.0999955555744,921.9029233059194,603.2752274045405,123.30855606972291,964.3365595060678,1723.385041132712,1792.1389455061792,1456.8623819702395,1042.3343993172248,1584.022727109684,879.7414392877034,575.2808010006939
ARFT,1328.9770502157703,1174.2478443667674,0.0,1282.4246566558231,1725.1994087640999,1662.9912807949027,1527.3470463518981,1702.1316047829612,2637.963229463216,2225.973944142204,1997.3815359111422,1862.0010741140034,2922.3979879544127,1311.249785509992,600.2965933604253,481.43327678921406,1560.7193854118236,1204.6327241113318,833.0096037861748,1821.0513446904458,1438.5305001980319,1669.4340358337013,1206.5674452765263,1060.8416469954411,1622.177548852091,1014.0069033295582,1945.1380413739278,670.374522188903,1689.886682591713,1199.2664424555537,1214.1931477322707,1590.546132621922,1543.7464169998905,510.2724762320617,2340.9820588807056,2095.091883426596,575.6474615595903,1580.3180059721042,1542.2934221475632,2122.5479971015966,1418.1911013682184,1449.226000318791,1016.3055642864298,1069.0074836033657,1308.2889589077517,413.3098111586513,429.2936058224298,1672.6470040029549,441.35246685578903,512.937618039465,1775.6238340365571,1578.4083755484355,2178.63191016713,2581.0898860752604,2588.6923339786827,2456.223320465792,115.95257651296045,117.41379816699569,108.55873986004075,239.2655428598109,1536.0325517385136,1636.6004399362255,1726.7240659703066,1285.7946958981113,1169.500748182857,1115.1094116720647,900.0672197119502,1356.6583947331767,1567.750298995347,1732.104211645477,1424.651887304404,1977.9780079666089,2084.95419613957,1973.9759370369165,1804.1964970587487,1649.4756742674322,1511.3017567646773,1565.5401623724106,1726.315440468572,2515.012723625867,639.215143750428,2775.9007547100814,1738.7334470815244,1325.5044322822916,1630.0680967370658,1483.1456435562895,2205.957841845578,1346.421182245734,1958.2239402070438,1857.8078479756728,1239.2114428135267,2299.2042101558277,2080.463650247223,584.9316199351853,1289.4871073415197,2100.866725901479,2204.0186024623295,1764.1689261519148,1728.8290835128844,2139.3019889674297,2528.976472804759,919.2306565819049,1481.4405151743354
ARSW,2419.447250922842,2317.0293481088966,1282.4246566558231,0.0,666.9347794202281,594.3374462375268,553.7093100174501,2694.5903213661254,3500.952584654272,3246.026031934639,2994.4782517151666,3017.133904883942,3902.922110418926,2518.128868822585,1206.1562916965265,1664.4581700957442,2607.463518440487,2427.8791156063917,1986.6881989880064,2820.014361664737,187.60863519608785,494.4137943062649,76.10519036083176,2317.0744485229334,2752.649087696681,2110.3006894748773,2992.046958187236,1132.570969078356,2584.0007739936923,2282.9097660656703,2288.1861812357,2860.2936912133196,613.0872694813662,1567.4364420921809,3272.743191880475,3063.8310984774516,1323.3007972486355,2281.136997200747,2053.44442340141,2776.9596684140356,2272.437677912912,2344.6818547509038,1957.9305401358674,2351.291134674269,2568.549201397076,1676.86612464992,1700.4005410486182,435.1333129058242,1677.7917033997203,1397.644446917304,2723.2423689409866,2854.36437758041,3238.135265858202,3621.556019171458,3578.661900766422,3440.261617958328,1395.0175626129953,1371.7452387374,1227.4673111732377,1144.5440140068638,2334.3275262907237,2396.9647473412087,2518.480692798807,2067.331855314513,1936.0405470957385,1967.455209146284,1805.8593522194615,278.74181602342395,421.3430906045839,836.6803451738417,462.28346282346206,2590.3903180790926,2765.694307040848,2747.9279466536236,2718.5856616990627,2604.3611500707607,2506.3192135077134,2620.821436115021,2249.536841218654,2789.8745491506984,1730.203745227232,3762.171979056382,2765.5793244811643,2558.766304295422,677.8679812472229,289.25421345274435,2791.589690480728,2409.694793951701,3083.365044881536,2582.846685345104,116.07756027731276,3400.4448238420487,3235.0857793877967,1730.5189972948665,2409.788372450552,3101.704370180607,2555.132286203347,1773.2955196467824,2055.420394955473,3084.2999205650494,3261.1612962252893,1620.6696146959548,2394.2917533162263
BIAN,2605.1911638112215,2548.0025510191313,1725.1994087640999,666.9347794202281,0.0,73.4098086090238,200.44949488589333,2794.0495700689567,3469.99668587738,3330.363493674527,3076.855862726958,3216.352748067765,3932.112027905614,2789.183572302117,1413.748563217657,1991.0853823982536,2748.9707164682777,2720.108269903981,2255.4192514918373,2914.748874259561,499.3485756463114,221.22612865572637,704.4671745366287,2653.8522943072776,2944.925975300554,2328.552554700022,3108.685413482683,1312.0644039070644,2632.2860786780616,2475.8935760650133,2474.3827513139513,3306.7037968340996,206.0728026693479,1846.5169915275624,3296.6531513040386,3123.3835819508304,1540.5456825423905,2254.3202966747626,1960.474432375945,2673.0321733941028,2330.305773927533,2417.466649201184,2106.641402801639,2751.8321169722544,2901.182689869783,2061.88893978313,2093.0838492520743,352.1661539670139,2038.2357567264012,1647.0385544971314,2792.2816834978025,3286.8626378361105,3351.1565167859553,3704.1676527932696,3626.899640188573,3490.478763722822,1822.7649327327254,1833.9719190870944,1641.2221056273888,1525.1232737060961,2353.842178226949,2388.392346327953,2514.313624033881,2113.7315345142247,1996.3058382923493,2067.1608548920703,1961.7160854721053,420.8004277564366,249.57563983690395,243.70473938764508,300.9584688956269,2481.077991518948,2677.070974031133,2712.6168177614536,2767.637620787367,2687.413068361468,2622.583840413877,2767.0910718663627,2133.1033730229065,2489.4646010738934,1995.407978334261,3800.5247006170084,2882.4754985949144,2855.483321611247,148.94629904767692,382.89685295128766,2649.4816474170943,2578.006400302373,3254.329116730513,2535.2729636076665,782.2863925697802,3538.463084447368,3424.7151706382824,2025.8356300549165,2617.1988843035983,3180.4006036975907,2313.802281959286,1470.1812813391416,1866.2189046304295,3127.292119390192,3165.8959237473364,1717.124340285234,2471.814111133764
BINO,2567.691570263096,2506.0490817220716,1662.9912807949027,594.3374462375268,73.4098086090238,0.0,151.8453160291749,2765.6362739888004,3456.8832783304065,3304.702709775909,3050.881348069359,3178.9438497719857,3913.221946171768,2744.123175077971,1368.052630566531,1938.8104600501686,2716.200471246602,2672.9698838557833,2209.109549117018,2887.125906502453,429.43916914960755,172.02906731120194,631.136276884432,2602.628863284187,2907.6450952617997,2287.10515718015,3079.2690691136722,1267.7988799490283,2608.704851071215,2437.3140954747846,2436.4484398402674,3247.203874104132,178.44046626261206,1797.6189807631588,3277.28012229701,3099.8854817557767,1495.0966523940865,2237.418378399534,1949.5499480649373,2666.2351734234435,2304.682624571151,2390.625859477004,2070.939158932048,2695.391066246208,2850.8076048726966,2005.1256818463778,2035.8116317576607,303.84206423710333,1983.3597757335965,1599.5514996398178,2766.994759662106,3228.4864875050544,3322.5852885964005,3679.3185510363564,3605.531860904894,3468.673665826794,1761.9719066999905,1770.7721479625357,1580.7166096425674,1466.4092198291426,2332.3430279443032,2370.039029214121,2495.933492704202,2088.371614440304,1968.9184848541258,2036.117138083728,1924.6238593553976,347.89941074963457,180.23595645697193,286.5745976182566,239.17566765870137,2474.2855534477017,2668.547545014015,2698.2536945221664,2744.369690839377,2660.3853104391064,2591.984760757699,2733.8953893670882,2125.7481036100985,2505.817431498244,1948.4106343376388,3780.471531436302,2852.5164329062445,2808.226842689169,153.94154734843212,312.27071588596294,2647.0153002958577,2542.117621196961,3219.759152483324,2521.7093409035615,709.8908366782231,3507.6750134522176,3388.6033996323795,1976.3463765241074,2577.6580455910093,3155.0285260200467,2322.159770558517,1482.0337378076986,1866.1323640085857,3105.543591708263,3159.3496166142177,1684.3601158897359,2444.67625668516
BKOK,2415.9207354547366,2354.346830864143,1527.3470463518981,553.7093100174501,200.44949488589333,151.8453160291749,0.0,2616.080465123829,3316.6508709842187,3156.2720098242853,2902.342846735659,3027.167818275522,3768.5701532544617,2593.0192826124535,1217.0065735237415,1791.112782601906,2565.21733972002,2522.5354308710907,2058.3507961472433,2737.876001574532,423.23161507607335,272.9047452866262,573.2451482565547,2454.255080467378,2755.8840686792323,2135.3456394691784,2929.286090500581,1116.3767285285048,2461.497511679089,2285.4839750039955,2284.650082616607,3106.947376444767,63.63961030690452,1647.878939728272,3132.444732154577,2952.5997019576225,1344.000372023758,2094.763948515441,1812.1942500736504,2532.171597660857,2156.494609313959,2241.8271565845926,1919.4066791585142,2551.405886957202,2701.9283854314126,1861.5053048540844,1892.7704562359859,387.41321608826996,1837.8098378227696,1449.1611366580275,2618.847265496347,3086.7384080939837,3172.8917409828787,3531.231230038649,3459.3682949348286,3322.275425066424,1623.8337353312993,1637.0109956869098,1442.1685061045707,1325.2490332008965,2186.4640404087127,2226.2403284457746,2352.0512324357323,1940.3981550187066,1820.0068681189803,1885.7407032777353,1772.9168057187742,278.0953074036655,216.60101569465402,284.1760018018093,111.7318217876261,2340.382874659614,2532.7891740135665,2557.3130430204233,2597.2974415722883,2511.4372379177976,2441.6539476347057,2582.8056450307054,1991.6350067223125,2401.7297932949186,1797.8723536447185,3635.0878943981993,2702.368035631002,2657.8444273508517,128.12884140592953,311.9775632957089,2517.5402678011656,2390.5256744072194,3068.3497193116905,2381.5257714331524,668.6822862912552,3357.1888537878167,3236.951961336485,1826.923643724599,2425.81326569051,3006.7617132057912,2206.568603057784,1373.825680354045,1740.4680404995288,2959.2566634207747,3025.224785036709,1533.5423046007177,2295.7284247053617
BLMP,418.96061867437646,612.5373458003601,1702.1316047829612,2694.5903213661254,2794.0495700689567,2765.6362739888004,2616.080465123829,0.0,960.4217823433825,551.4961468582995,302.6169195526673,584.6605852970807,1229.2542454671998,728.6288492778224,1489.6576787977274,1227.0004074981746,186.06719216444728,822.060825000305,895.0938498282858,125.53883861100051,2777.4581905048276,2866.296914138961,2625.8882306762953,1018.6191633775933,412.33966580948584,696.4553108422355,317.16557190165935,1563.0259114938879,247.9697562203907,519.7730273881335,499.74093288445874,1706.1796505641319,2590.4140595669896,1212.0635296884432,642.0848853539538,392.97073682370103,1378.106672214124,674.5227942779607,1006.5768723753081,834.1810355075229,473.888172463125,380.55223031845713,740.5572226378964,1308.2388925574805,1013.7494759555077,1367.016093541204,1379.5408656507245,2937.052944705341,1299.7553615973527,1325.6066535745022,127.20062892941469,1624.6676583227722,557.1077095131552,927.1013968273539,896.8054415531574,760.5767548377122,1611.1005555213526,1713.5652890978329,1670.0362271522947,1669.736506159327,506.09880458314234,546.6635162519366,469.4209198577145,687.4009019492593,798.1027502776087,734.2649385618749,891.3613184341723,2611.9437206804914,2773.4456908334146,2652.610977886209,2563.026531271626,852.1296849660926,771.057715090362,553.9539692068286,208.6552180036638,119.64113005195564,193.507105813032,200.63897926375125,970.4024938137783,1637.3530468414642,1064.8455287039753,1083.9635602727733,109.00458705901296,845.5258718690192,2649.2931132667063,2758.761497484402,990.4958354281465,373.7512541786883,535.4073215781875,613.7703153463884,2707.8487771664522,751.4572509455256,722.5821752571545,1119.0446818606674,494.80198059434974,409.78164917390825,1364.8919371147872,1718.1385275936177,1280.2038900117145,440.64157770208544,987.2679474185422,1088.5003445111752,325.3459697004111
BUCK,1376.9480745473672,1568.8224883650796,2637.963229463216,3500.952584654272,3469.99668587738,3456.8832783304065,3316.6508709842187,960.4217823433825,0.0,618.341329687738,714.45713657303,1205.23939530693,547.0283356463356,1631.7579477361219,2332.4772238972932,2173.2408978297826,1134.8519727258495,1742.277245446429,1852.4041135778123,861.4325278280708,3553.1732296638734,3584.1428542958497,3438.7912120398505,1950.0320510186493,1240.5651937726957,1651.444216436026,845.0727779309898,2384.2357266008744,952.6599603213341,1479.3789237379312,1458.5215116685802,2523.0562815759645,3278.5394614065576,2133.446038689519,343.78627081366614,594.8310684555742,2239.0757021592635,1226.5174275158734,1510.6227192784272,836.6337310914496,1250.6254435281573,1198.8135801699946,1631.7797032690835,2225.4691640191286,1888.6000105899707,2323.0637098452553,2337.232765472775,3675.0414963642997,2252.994895688972,2212.406156201885,867.1666506505945,2437.2166501975303,757.6100580112816,634.4170552562407,437.00114416326187,423.5197752171674,2554.22649739613,2659.7954808593836,2594.314745746938,2575.590417748909,1169.410962835487,1104.415229884497,982.5080152340439,1440.134021541129,1573.046089598062,1568.552517450722,1768.6517463876262,3370.91678924295,3501.82995018319,3286.7024507855895,3286.427391560629,1018.1772930094555,813.7444316245734,759.9111790198863,833.7775482707834,991.6309797500278,1138.4748569907022,1141.000438211859,1351.3656056000611,1525.5638301952495,1999.4404217181338,480.23431780746364,963.4292916452146,1729.0193752529206,3321.0612761585717,3513.341002521674,927.2432259121659,1334.1664064126335,1060.696469306842,935.200513259055,3532.926973488056,884.0644772863933,1145.7037138806875,2063.3780555196377,1447.6605265047465,645.0992171751567,1414.1414356421355,2131.161655060451,1660.4156106228345,527.9592787327447,423.985848820453,1891.164984870437,1160.5274662841891
CABI,899.3886812718092,1073.0004659831234,2225.973944142204,3246.026031934639,3330.363493674527,3304.702709775909,3156.2720098242853,551.4961468582995,618.341329687738,0.0,254.0964383855501,590.0305076857197,698.697359376719,1069.6092744549292,2041.130079147276,1745.2684607245958,665.7965154609134,1187.806381528679,1398.5081336910414,426.0187789292255,3327.5627717595353,3410.0384162058936,3177.3808396228787,1398.8141406205473,672.0267851805788,1212.0107260251455,285.0438562747845,2114.203869072233,702.7012167339384,1026.722942180606,1012.0242091965982,1911.1266310739381,3128.2546251863832,1750.1502792617553,298.7657945613569,229.10696191953662,1929.0417310156874,1124.4967763404275,1461.3955658889922,1017.4723583468988,1000.1169931563007,914.8464352010124,1291.2524927375848,1655.543717332768,1301.987711155637,1865.030026567937,1871.945779129208,3483.688275377074,1805.6201150853387,1873.6661922551732,538.1821253075175,1825.0887649645929,143.2654878187555,376.49037172283704,367.3472471654034,248.64633518312712,2128.4935987689414,2226.0929899714433,2202.467933932297,2210.7989506058666,988.706225326797,983.1241020343844,866.0023094652773,1216.6396344029247,1336.6061499184777,1282.8799632082053,1442.4870883304293,3160.344601463581,3318.47449892266,3179.3623574547146,3106.7618190006133,1129.9969026505871,962.8551292899675,777.4811894826172,571.2136202862525,646.4131805586889,741.8955452083534,660.4392477734542,1369.27900736071,1843.4492127530934,1596.803056109377,552.2544703304809,490.5527494571812,1151.4208613708543,3184.200056529112,3306.9649227048053,1165.9373911149776,879.8329386877944,443.64963653766245,931.7263546771659,3259.18471400435,330.41186419339164,535.3886438840481,1641.275418691208,950.4783006465744,150.44268011438774,1635.6167032651629,2163.95656148639,1697.9075357627694,270.6233544984616,878.627338522994,1636.257009152291,861.5532484994761
