group,bird-id,location,detections
LAMB,5998,AARD,2
LAMB,5998,LAMB,564
LAMB,5998,RE17,1
LAMB,5998,PLAN,1
LAMB,5998,WNCH,1
LAMB,5998,CAVI,2
LAMB,5998,1500,3
LAMB,5998,AMAD,1
LAMB,5998,JAIM,1
LAMB,5998,1800,1
LAMB,5998,SHIL,2
LAMB,5998,MACR,13
LAMB,5998,CABI,1
LAMB,5998,RE28,2
LAMB,5998,BKOK,23
LAMB,5998,ARFT,3
LAMB,5998,MLF2,4
LAMB,5998,SHW,7
LAMB,5998,KOUT,3
LAMB,5998,LOLF,1
LAMB,5998,GATR,3
LAMB,5998,DIPS,1
BUCK,4713,AARD,356
BUCK,4713,LAMB,5727
BUCK,4713,RE17,14557
BUCK,4713,PLAN,157289
BUCK,4713,WNCH,64238
BUCK,4713,SOHA,162
BUCK,4713,CAVI,367176
BUCK,4713,1500,98615
BUCK,4713,AMAD,332
BUCK,4713,JAIM,322614
BUCK,4713,1800,3088
BUCK,4713,HORS,4
BUCK,4713,SHW,1669
BUCK,4713,SHIL,115200
BUCK,4713,MACR,241820
BUCK,4713,CABI,281627
BUCK,4713,RE28,141451
BUCK,4713,CHIM,113
BUCK,4713,SHAN,77152
BUCK,4713,ARFT,222921
BUCK,4713,UA2,722
BUCK,4713,SOSP,2579
BUCK,4713,BKOK,452
BUCK,4713,MLF2,192309
BUCK,4713,GATR,182977
BUCK,4713,KOUT,28558
BUCK,4713,LOLF,50
BUCK,4713,RE19,77123
BUCK,4713,Y,173006
BUCK,4713,DIPS,217291
BUCK,5789,AARD,728
BUCK,5789,LAMB,13713
BUCK,5789,PLAN,2
BUCK,5789,WNCH,5724
BUCK,5789,SOHA,720
BUCK,5789,CAVI,19336
BUCK,5789,1500,224
BUCK,5789,AMAD,1
BUCK,5789,JAIM,4
BUCK,5789,1800,11070
BUCK,5789,ROBH,2013
BUCK,5789,HORS,11675
BUCK,5789,SHW,1841
BUCK,5789,BIAN,14
BUCK,5789,MACR,27263
BUCK,5789,CABI,18047
BUCK,5789,RE03,281
BUCK,5789,SHIL,5979
BUCK,5789,RE28,1
BUCK,5789,BKOK,21828
BUCK,5789,SHAN,4
BUCK,5789,ARFT,19665
BUCK,5789,UA2,10141
BUCK,5789,SOSP,34044
BUCK,5789,MLF2,751
BUCK,5789,GATR,4
BUCK,5789,KOUT,31962
BUCK,5789,LOLF,309
BUCK,5789,RE19,2
BUCK,5789,Y,222
BUCK,5789,DIPS,4
BUCK,6019,AARD,3108
BUCK,6019,LAMB,31837
BUCK,6019,RE17,1
BUCK,6019,PLAN,4
BUCK,6019,WNCH,12139
BUCK,6019,SOHA,2569
BUCK,6019,CAVI,41921
BUCK,6019,1500,47
BUCK,6019,JAIM,5
BUCK,6019,1800,35747
BUCK,6019,ROBH,4773
BUCK,6019,HORS,25537
BUCK,6019,SHW,4114
BUCK,6019,BIAN,54
BUCK,6019,MACR,72182
BUCK,6019,CABI,43615
BUCK,6019,RE03,882
BUCK,6019,SHIL,11679
BUCK,6019,RE28,2
BUCK,6019,BKOK,52921
BUCK,6019,SHAN,4
BUCK,6019,ARFT,50179
BUCK,6019,UA2,28272
BUCK,6019,SOSP,95014
BUCK,6019,MLF2,897
BUCK,6019,GATR,2
BUCK,6019,KOUT,79074
BUCK,6019,LOLF,121
BUCK,6019,RE19,1
BUCK,6019,Y,83
BUCK,6019,DIPS,3
LA2,5381,AARD,42
LA2,5381,RE03,61
LA2,5381,BINO,38536
LA2,5381,WNCH,18
LA2,5381,SOHA,49
LA2,5381,LA2,47141
LA2,5381,CAVI,1
LA2,5381,JAIM,5
LA2,5381,BIAN,32428
LA2,5381,SHW,8
LA2,5381,KOUT,391
LA2,5381,CABI,5
LA2,4140,RE03,96
LA2,4140,BINO,53734
LA2,4140,MLF2,322
LA2,4140,SHAN,1
LA2,4140,WNCH,23
LA2,4140,SOHA,94
LA2,4140,LA2,63899
LA2,4140,1500,296
LA2,4140,1800,333
LA2,4140,BIAN,51033
LA2,4140,SHW,2
LA2,4140,KOUT,637
LA2,4140,HORS,104
LA2,4140,LOLF,307
LA2,4140,SHIL,1
LA2,4140,LHAY,9
LA2,4140,SOSP,156
LA2,4140,DIPS,76
LA2,6046,AARD,1
LA2,6046,LAMB,1
LA2,6046,RE17,4
LA2,6046,PLAN,8
LA2,6046,WNCH,155
LA2,6046,SOHA,301
LA2,6046,LA2,57305
LA2,6046,CAVI,5
LA2,6046,1500,305
LA2,6046,AMAD,3
LA2,6046,JAIM,6
LA2,6046,1800,232
LA2,6046,HORS,3
LA2,6046,SHW,5
LA2,6046,BIAN,51510
LA2,6046,LHAY,8
LA2,6046,MACR,2
LA2,6046,CABI,2
LA2,6046,RE03,253
LA2,6046,BINO,49699
LA2,6046,SHIL,10
LA2,6046,RE28,7
LA2,6046,SHAN,9
LA2,6046,ARFT,5
LA2,6046,SOSP,11
LA2,6046,MLF2,292
LA2,6046,GATR,2
LA2,6046,KOUT,21
LA2,6046,LOLF,323
LA2,6046,RE19,2
LA2,6046,Y,6
LA2,6046,DIPS,13
LA2,5163,BINO,19585
LA2,5163,BIAN,19757
LA2,5163,KOUT,27
LA2,5163,LA2,65517
LA2,5163,ARFT,1
LA2,5163,JAIM,6
LA2,5163,CAVI,1
LA2,5163,CABI,8
LA2,5383,AARD,10382
LA2,5383,LAMB,8
LA2,5383,RE17,5
LA2,5383,PLAN,20
