group,bird-id,detections
LAMB,5998,599
BUCK,4713,1587828
BUCK,5789,17003
BUCK,6019,34035
SECA,4549,92811
LA2,5383,1246
LA2,6046,1206
LA2,4140,1595
CAVI,4621,1848678
CAVI,4935,2110724
CAVI,4629,2923697
CAVI,5881,1561629
CAVI,5880,525031
CAVI,5762,4365
1500,Field Tag,1324463
AMAD,5209,1733764
AMAD,5442,1635052
1800,5191,2297
ROBH,5583,90682
ROBH,4884,585041
ROBH,5389,810545
HORS,5140,35000
UNK,6007,91840
UNK,6008,5640
UNK,6009,14661
UNK,6005,1574621
UNK,6006,867520
SHIL,Field Tag,870113
SOSP,5867,715830
SOSP,6003,560497
RE03,4968,1239508
RE03,5804,235227
RE03,5568,2636
RE03,6000,1300892
CHIM,5964,24015
KNOL,5715,10463
KNOL,5007,29292
KNOL,5714,68328
BKOK,5974,1942050
A1,5993,272
A1,5992,161
A1,Field Tag,174032
PLQE,5945,26418
PLQE,5878,361272
PLQE,5944,640227
PLQE,5562,112
PLQE,5103,2210227
PLQE,5876,2077178
PLQE,5946,5489
PLQE,5153,2055134
PLQE,5006,180
MLF2,4754,365
GATR,5838,207
PIPE,5462,369780
NA,Walk Tag,5236
LOLF,4889,180328
LOLF,5679,1776798
CABI,6001,260
