tag,detections
2DBFFFFF,17617
4B52B66B,14619
52514B4B,13248
7FFFFE00,24611
52556667,19963
2852664B,11124
2DB4AD19,10227
3FFFF000,19782
4B33124C,15863
52546666,10459
55667FFF,12985
52524B3F,10802
7FFFFC00,24213
53FFFFE0,11190
66AACCD3,12175
52554B80,12892
B524B66B,18156
332A4B2B,10533
5255333F,19261
52666657,10473
2AD299BF,13074
52999980,18650
42552A4B,12740
34D2D2CC,100059
5266554F,12836
66AACFFF,21925
2DB0AD99,15355
5FFFFF00,11122
5251664B,12420
4B524B46,20283
52666651,12794
52554B4F,10798
4B334B00,14143
5266667F,13820
5255667F,24409
3FFFC000,14620
2AD29FFF,15460
42666655,11718
52554A4B,11067
52999993,17499
2AD299AB,14974
3FFFFC00,22739
5299FFFF,10360
52552FFF,10382
527FFFFE,13864
52666645,12567
2DB0ADAA,15852
2DB4ADAF,12186
53FFFF00,10004
43524B66,15046
52554B0B,18438
2D99B4B4,33350
4B524B62,13785
332BFFFF,10435
2A52660B,10870
5255464B,11417
4B332A4B,143248
5299B4FF,15387
5252552F,31547
52554B55,3044065
2DB4FFFF,25283
2DB0B4D2,11181
66B4AAB3,1170384
2DB4D5AD,285691
52554B4A,13616
5255664A,11951
527FFFF0,12735
5255660B,11578
55666615,10805
7FFFF000,23184
5255334B,464786
5257FFFF,42006
529999B2,19404
5255B4BB,14215
2DB4ADFF,12603
66B7FFFF,19138
332A5FFF,10708
7FFFFF00,16470
52554BFF,16568
66BFFFFF,28982
52554B43,11493
2A52664F,13892
52552D2A,228611
2D34AD99,10009
66AACCFF,26317
527FFF00,11943
5FFFFF80,12751
52552A4F,11493
4B334B5F,15417
5255284B,13384
2DB4B0D2,10310
529989B3,12049
2A52664A,10301
332A7FFF,20404
52D5B4CC,196520
332A553F,10379
52527FFF,15102
529919B3,15302
5252552C,10592
66B4AAD5,453356
334B2A7F,19211
52544B4B,13750
52525FFF,12069
5567FFFF,10198
52524B80,14437
55666651,12755
5299C000,11669
2DB7FFFF,14403
4B334B53,18662
5FFFFC00,13481
4B504B66,17497
52557FFF,45069
5255224B,12601
4B524366,13877
52666615,12069
52666654,13468
4B124B66,30482
334B552D,103005
334B2FFF,18641
53FFFF80,12427
5255554F,13232
3FFFE000,18910
12554B4B,10524
2A527FFF,16902
54666655,12858
66B4FFFF,30802
529999A3,20758
52665FFF,11232
4B33424C,13745
66B4AAFF,40629
4B524B26,16795
521999B3,21017
3FFFF800,20794
5255C000,14928
5FFFFE00,10234
52554B57,10564
334B3FFF,18068
2D34ADAA,10162
2A5267FF,16270
2AD299AF,14382
5254664B,13191
4B334FFF,11702
334B2A67,18642
2DB4ADAA,3266126
66B4CCB4,396418
429999B3,22632
52558000,13942
529899B3,11241
525567FF,27125
2DA4ADAA,10846
5245664B,10423
3FFFFE00,19842
12552A4B,10357
5255524B,343621
52554FFF,17387
7FFFE000,19259
4B524B7F,14330
527FFFFF,10975
5255552F,11042
2DA4AD99,10570
5FFFF800,11387
52555552,202008
55666654,12911
3FFFFF00,16168
5255A4BB,10314
2DB4D2CC,674813
52555534,949316
529999BF,41837
5255332A,315818
527FFFFC,14404
552A5553,11024
5299B4CB,208974
4B3FFFFF,11132
55466655,10853
52552A7F,15024
529999FF,14722
52553355,533308
52D5B4AA,321760
52512A4B,13246
34D2FFFF,18425
4B2D5255,13094
52542A4B,13989
129999B3,18639
2DB4ADBF,11314
334B2D2F,11155
2DB4AD2A,10250
55664B2A,28293
529199B3,14287
4B524B00,20738
556667FF,13250
52999FFF,27156
2A52524C,587472
52554B7F,12906
66B4AAAD,529861
529999B1,14069
4B334B52,1260216
525257FF,11597
52667FFF,19709
4B334BFF,12383
52555FFF,12549
527FFE00,11788
7FFFC000,12495
51666655,12750
526667FF,17400
42554B4B,12820
4255664B,12048
66B4AFFF,30494
529991B3,15426
2A42664B,10078
66B4ADAA,193063
4B334B55,132695
52999933,15952
4B524A66,16637
5267FFFF,10912
52664B33,328115
2DB4AFFF,29328
527FFFF8,11595
2DB4ADA8,12954
4B334B7F,12429
52525580,12521
2DB4BFFF,27196
525533FF,10895
3FFFFF80,10869
7FFFF800,22293
52524FFF,10253
52554B5F,11809
55666657,11327
55666645,11826
52553300,11980
52454B4B,11069
52D5ADAD,69127
2AD29999,43532
34D2B4D2,1168464
5252553F,13580
4B332A4C,146123
2DB4AD9F,12193
52553FFF,58827
527FFFE0,11080
2DB4ADA2,13439
5299BF80,14192
2DB4B4FF,15303
4B424B66,26310
53FFFFF0,11780
332A5530,11364
509999B3,16992
529999AD,215521
66B4AABF,24141
52452A4B,11265
2AD29900,11676
529998B3,12109
45666655,11635
66B4BFFF,30130
66B4ABFF,29128
525FFFFF,31507
4A524B66,16545
34D2D2FF,10472
52524BFF,12377
4B524B64,19182
34D2D2AA,425565
5255434B,10132
4B525B66,10609
5255664F,14543
34D2D2BF,17559
66CCAAB3,132256
2DB4AD8A,15712
52552A4A,12313
